# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-p" "-t" "exon" "-g" "gene_id" "-a" "genomic.gtf" "-o" "SRR30615974_counts.txt" "SRR30615974_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR30615974_sorted.bam
BSU_rRNA_1	NC_000964.3	9810	11364	+	1555	1156
BSU_tRNA_5	NC_000964.3	11464	11540	+	77	0
BSU_tRNA_6	NC_000964.3	11552	11627	+	76	0
BSU_rRNA_2	NC_000964.3	11709	14636	+	2928	1111
BSU_rRNA_3	NC_000964.3	14692	14810	+	119	358
BSU_misc_RNA_1	NC_000964.3	20611	20823	+	213	1193
BSU_tRNA_7	NC_000964.3	22292	22384	+	93	778
BSU_misc_RNA_2	NC_000964.3	26379	26732	+	354	1623
BSU_rRNA_4	NC_000964.3	30279	31832	+	1554	1138
BSU_tRNA_8	NC_000964.3	31932	32008	+	77	0
BSU_tRNA_9	NC_000964.3	32020	32095	+	76	0
BSU_rRNA_5	NC_000964.3	32177	35103	+	2927	1204
BSU_rRNA_26	NC_000964.3	35237	35355	+	119	572
BSU_tRNA_10	NC_000964.3	70181	70257	+	77	196
BSU_tRNA_11	NC_000964.3	70267	70338	+	72	182
BSU_rRNA_6	NC_000964.3	90536	92089	+	1554	1333
BSU_rRNA_7	NC_000964.3	92254	95181	+	2928	70
BSU_rRNA_8	NC_000964.3	95237	95354	+	118	4
BSU_tRNA_12	NC_000964.3	95375	95450	+	76	0
BSU_tRNA_13	NC_000964.3	95455	95530	+	76	0
BSU_tRNA_14	NC_000964.3	95567	95642	+	76	2
BSU_tRNA_15	NC_000964.3	95649	95731	+	83	2
BSU_tRNA_16	NC_000964.3	95772	95846	+	75	2
BSU_tRNA_17	NC_000964.3	95861	95946	+	86	0
BSU_tRNA_18	NC_000964.3	95956	96032	+	77	0
BSU_tRNA_19	NC_000964.3	96060	96136	+	77	1
BSU_tRNA_20	NC_000964.3	96146	96221	+	76	35
BSU_rRNA_9	NC_000964.3	96392	97945	+	1554	895
BSU_rRNA_10	NC_000964.3	98110	101037	+	2928	911
BSU_rRNA_11	NC_000964.3	101093	101211	+	119	239
BSU_misc_RNA_3	NC_000964.3	119855	119995	+	141	894
BSU_misc_RNA_4	NC_000964.3	153737	153793	+	57	715
BSU_rRNA_23	NC_000964.3	160893	162445	+	1553	863
BSU_rRNA_14	NC_000964.3	162610	165535	+	2926	103
BSU_rRNA_15	NC_000964.3	165591	165707	+	117	10
BSU_tRNA_23	NC_000964.3	165754	165825	+	72	1
BSU_tRNA_24	NC_000964.3	165830	165902	+	73	3
BSU_tRNA_25	NC_000964.3	165959	166033	+	75	0
BSU_tRNA_26	NC_000964.3	166064	166140	+	77	0
BSU_tRNA_27	NC_000964.3	166168	166244	+	77	5
BSU_tRNA_28	NC_000964.3	166253	166328	+	76	4
BSU_rRNA_16	NC_000964.3	166500	168053	+	1554	137
BSU_rRNA_29	NC_000964.3	168218	171141	+	2924	87
BSU_rRNA_24	NC_000964.3	171197	171314	+	118	145
BSU_rRNA_25	NC_000964.3	171498	173049	+	1552	437
